"Site","Building","Floor","Area","Description","Room Number","Room Barcode","Room Type","Cost Centre","Department"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RISER CUPBOARD M/C/3/2","ADL20156","ADL20156","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CORRIDOR","ADM20001","ADM20001","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","TECH.CONT / EQUIP","ADM20002","ADM20002","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CLINICAL ROOM","ADM20003","ADM20003","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CLINICAL ROOM","ADM20004","ADM20004","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","TECH.CONT / EQUIP","ADM20005","ADM20005","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20006","ADM20006","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20007","ADM20007","Not Defined",,"ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","CORRIDOR","ADP20001","ADP20001","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD M/B/9/2","ADP20002","ADP20002","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD M/B/10/2","ADP20003","ADP20003","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","STORE WARD SUPPLIES","ADP20004","ADP20004","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD G/B/3/2","ADP20005","ADP20005","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","LOBBY","ADP20006","ADP20006","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD E/B/4/2","ADP20007","ADP20007","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","CUPBOARD ELECTRIC","ADP20008","ADP20008","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","Staff Rest ","ADP20009","ADP20009","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","STAFF REST","ADP20010","ADP20010","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","STORE WARD EQUIPMENT","ADP20011","ADP20011","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD G/C/1/2","ADP20012","ADP20012","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","KITCHEN REGENT","ADP20013","ADP20013","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","LARDER","ADP20014","ADP20014","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD A/C/1/2","ADP20015","ADP20015","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","LOBBY","ADP20016","ADP20016","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD G/C/2/2","ADP20017","ADP20017","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD M/C/1/2","ADP20018","ADP20018","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","RISER CUPBOARD M/C/2/2","ADP20019","ADP20019","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","CUPBOARD CLEANER","ADP20020","ADP20020","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","DIRTY HOLD","ADP20021","ADP20021","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","FM OPERATIONS HUB","ADP20022","ADP20022","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","CHANGE FEMALE","ADP20023","ADP20023","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","WC FEMALE","ADP20024","ADP20024","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","WC/SHOWER FEMALE DISABLED","ADP20025","ADP20025","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","UNIFORM HOLD","ADP20027","ADP20027","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","CHANGE MALE","ADP20028","ADP20028","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","WC MALE","ADP20029","ADP20029","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","WC/SHOWER MALE DISABLED","ADP20030","ADP20030","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADP","CUPBOARD CLEANER","ADP20032","ADP20032","Not Defined",,"EAST WING 2ND ZONAL HUB"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CORRIDOR","ADM20017","ADM20017","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","WC DISABLED","ADM20018","ADM20018","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE SECRETARY","ADM20019","ADM20019","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20020","ADM20020","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20021","ADM20021","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20022","ADM20022","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20023","ADM20023","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20024","ADM20024","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20025","ADM20025","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20026","ADM20026","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20027","ADM20027","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE CONSULTANT","ADM20028","ADM20028","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","MEETING SPACE","ADM20029","ADM20029","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","WC","ADM20030","ADM20030","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","WC","ADM20031","ADM20031","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CUPBOARD CLEANER","ADM20032","ADM20032","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CUPBOARD ELECTRIC","ADM20033","ADM20033","Not Defined",,"EAST WING  CLINICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","RISER CUPBOARD M/C/6/2","ADM20034","ADM20034","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CORRIDOR","ADM20035","ADM20035","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","TECH.CONT/ EQUIP","ADM20036","ADM20036","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CLINICAL ROOM","ADM20037","ADM20037","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","CLINICAL ROOM","ADM20038","ADM20038","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","TECH.CONT / EQUIP","ADM20039","ADM20039","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20040","ADM20040","Not Defined",,"MEDICAL ADMIN"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","WAITING","ADM20008","ADM20008","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20009","ADM20009","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","STAFF MEETING ROOM","ADM20010","ADM20010","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20011","ADM20011","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20012","ADM20012","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20013","ADM20013","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","OFFICE","ADM20014","ADM20014","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","PHOTO / FAX ROOM","ADM20015","ADM20015","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADM","INTERVIEW","ADM20016","ADM20016","Not Defined",,"SOCIAL SERVICES"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20051","ADL20051","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE","ADL20052","ADL20052","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20053","ADL20053","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20054","ADL20054","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","NURSE BASE","ADL20055","ADL20055","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20056","ADL20056","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20057","ADL20057","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SLUICE","ADL20058","ADL20058","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20059","ADL20059","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20060","ADL20060","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20061","ADL20061","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20062","ADL20062","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20063","ADL20063","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20064","ADL20064","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20065","ADL20065","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20066","ADL20066","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20067","ADL20067","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20068","ADL20068","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","6 BED BAY","ADL20069","ADL20069","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RECEPTION WARD 20","ADL20070","ADL20070","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","6 BED BAY","ADL20071","ADL20071","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20072","ADL20072","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC","ADL20073","ADL20073","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","BATH","ADL20074","ADL20074","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","BEVERAGE BAY","ADL20075","ADL20075","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CLEAN UTILITY","ADL20076","ADL20076","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","TREATMENT","ADL20077","ADL20077","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","DIRTY UTILITY","ADL20078","ADL20078","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","STORE","ADL20079","ADL20079","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","DAY ROOM","ADL20080","ADL20080","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","STORE","ADL20081","ADL20081","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CUPBOARD ELECTRIC","ADL20082","ADL20082","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","BATH","ADL20083","ADL20083","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC","ADL20084","ADL20084","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20085","ADL20085","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SLUICE","ADL20086","ADL20086","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20087","ADL20087","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20088","ADL20088","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","NURSE BASE","ADL20089","ADL20089","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20090","ADL20090","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20091","ADL20091","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE","ADL20092","ADL20092","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20093","ADL20093","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20094","ADL20094","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20095","ADL20095","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20096","ADL20096","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20097","ADL20097","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20098","ADL20098","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20099","ADL20099","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20100","ADL20100","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20101","ADL20101","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC","ADL20102","ADL20102","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20103","ADL20103","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20104","ADL20104","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","NURSE BASE","ADL20105","ADL20105","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20106","ADL20106","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CUPBOARD CLEANER","ADL20107","ADL20107","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","KITCHEN REGENT","ADL20108","ADL20108","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","LINEN","ADL20109","ADL20109","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","DIRTY HOLD","ADL20110","ADL20110","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SEMINAR ROOM","ADL20111","ADL20111","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RISER CUPBOARD E/C/2/2","ADL20112","ADL20112","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RISER CUPBOARD M/C/5/2","ADL20113","ADL20113","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC","ADL20114","ADL20114","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WAITING AREA","ADL20115","ADL20115","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE WARD MANAGER","ADL20116","ADL20116","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE REPORTS","ADL20117","ADL20117","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CHANGING","ADL20118","ADL20118","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","UNIFORM HOLD","ADL20119","ADL20119","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CHANGING","ADL20120","ADL20120","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20121","ADL20121","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20122","ADL20122","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20123","ADL20123","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20124","ADL20124","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE DOCTORS","ADL20125","ADL20125","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20152","ADL20152","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","LOBBY","ADL20153","ADL20153","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RISER CUPBOARD M/C/7/2","ADL20154","ADL20154","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RISER CUPBOARD M/C/8/2","ADL20155","ADL20155","Not Defined",,"WARD 20"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20001","ADL20001","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE NURSES","ADL20002","ADL20002","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20003","ADL20003","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20004","ADL20004","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","NURSE BASE","ADL20005","ADL20005","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20006","ADL20006","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20007","ADL20007","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SLUICE","ADL20008","ADL20008","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20009","ADL20009","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20010","ADL20010","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20011","ADL20011","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20012","ADL20012","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20013","ADL20013","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20014","ADL20014","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20015","ADL20015","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20016","ADL20016","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20017","ADL20017","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20018","ADL20018","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","6 BED BAY","ADL20019","ADL20019","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","RECEPTION WARD 21","ADL20020","ADL20020","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","6 BED BAY","ADL20021","ADL20021","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20022","ADL20022","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC","ADL20023","ADL20023","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","BATH","ADL20024","ADL20024","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CUPBOARD ELECTRIC","ADL20025","ADL20025","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","STORE","ADL20026","ADL20026","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","DAY ROOM","ADL20027","ADL20027","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","STORE ROOM","ADL20028","ADL20028","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","DIRTY UTILITY","ADL20029","ADL20029","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","TREATMENT","ADL20030","ADL20030","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CLEAN UTILITY","ADL20031","ADL20031","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","BEVERAGE BAY","ADL20032","ADL20032","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","BATH","ADL20033","ADL20033","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC","ADL20034","ADL20034","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20035","ADL20035","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SLUICE","ADL20036","ADL20036","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20037","ADL20037","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20038","ADL20038","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","NURSE BASE","ADL20039","ADL20039","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","4 BED BAY","ADL20040","ADL20040","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","WC/SHOWER","ADL20041","ADL20041","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE","ADL20042","ADL20042","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20043","ADL20043","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20044","ADL20044","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20045","ADL20045","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20046","ADL20046","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20047","ADL20047","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20048","ADL20048","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20049","ADL20049","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20050","ADL20050","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","CORRIDOR","ADL20126","ADL20126","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","OFFICE","ADL20127","ADL20127","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20128","ADL20128","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20129","ADL20129","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","SINGLE ROOM","ADL20130","ADL20130","Not Defined",,"WARD 21"
"Walsgrave","2ND FLOOR EAST WING","02","ADL","ENSUITE","ADL20131","ADL20131","Not Defined",,"WARD 21"
